Long Statement,insitu.bus.code,unfollowMerchant,C:\repos\hgoycoolea_insitu.platform\0.bus\insitu.bus.code\unfollowMerchant.cs,ProcessRequest,The length of the statement  "		Dictionary<string' string> Collection = cl.maia.bus.Utils.ContextForm.ProcessNativeEncryptedForm (context.Request.Form); " is 120.
Long Statement,insitu.bus.code,unfollowMerchant,C:\repos\hgoycoolea_insitu.platform\0.bus\insitu.bus.code\unfollowMerchant.cs,ProcessRequest,The length of the statement  "		string json = JsonConvert.SerializeObject (MerchantLogics.UnFollowMercante (int.Parse (id_mercante)' int.Parse (id_cliente))); " is 126.
Long Statement,insitu.bus.code,followMerchant,C:\repos\hgoycoolea_insitu.platform\0.bus\insitu.bus.code\followMerchant.cs,ProcessRequest,The length of the statement  "		Dictionary<string' string> Collection = cl.maia.bus.Utils.ContextForm.ProcessNativeEncryptedForm (context.Request.Form); " is 120.
Long Statement,insitu.bus.code,followMerchant,C:\repos\hgoycoolea_insitu.platform\0.bus\insitu.bus.code\followMerchant.cs,ProcessRequest,The length of the statement  "		string json = JsonConvert.SerializeObject (MerchantLogics.FollowMercante (int.Parse (id_mercante)' int.Parse (id_cliente))); " is 124.
Long Statement,insitu.bus.code,updateCliente,C:\repos\hgoycoolea_insitu.platform\0.bus\insitu.bus.code\updateCliente.cs,ProcessRequest,The length of the statement  "		Dictionary<string' string> Collection = cl.maia.bus.Utils.ContextForm.ProcessNativeEncryptedForm (context.Request.Form); " is 120.
Long Statement,insitu.bus.code,getComprasPorCliente,C:\repos\hgoycoolea_insitu.platform\0.bus\insitu.bus.code\getComprasPorCliente.cs,ProcessRequest,The length of the statement  "		Dictionary<string' string> Collection = cl.maia.bus.Utils.ContextForm.ProcessNativeEncryptedForm (context.Request.Form); " is 120.
Long Statement,insitu.bus.code,getNumeroSeguidoresPorMercante,C:\repos\hgoycoolea_insitu.platform\0.bus\insitu.bus.code\getNumeroSeguidoresPorMercante.cs,ProcessRequest,The length of the statement  "		Dictionary<string' string> Collection = cl.maia.bus.Utils.ContextForm.ProcessNativeEncryptedForm (context.Request.Form); " is 120.
Long Statement,insitu.bus.code,getSeguidoresPorMercante,C:\repos\hgoycoolea_insitu.platform\0.bus\insitu.bus.code\getSeguidoresPorMercante.cs,ProcessRequest,The length of the statement  "		Dictionary<string' string> Collection = cl.maia.bus.Utils.ContextForm.ProcessNativeEncryptedForm (context.Request.Form); " is 120.
Long Statement,insitu.bus.code,getPerfilCliente,C:\repos\hgoycoolea_insitu.platform\0.bus\insitu.bus.code\getPerfilCliente.cs,ProcessRequest,The length of the statement  "		Dictionary<string' string> Collection = cl.maia.bus.Utils.ContextForm.ProcessNativeEncryptedForm (context.Request.Form); " is 120.
Long Statement,insitu.bus.code,savePerfilCliente,C:\repos\hgoycoolea_insitu.platform\0.bus\insitu.bus.code\savePerfilCliente.cs,ProcessRequest,The length of the statement  "		Dictionary<string' string> Collection = cl.maia.bus.Utils.ContextForm.ProcessNativeEncryptedForm (context.Request.Form); " is 120.
Long Statement,insitu.bus.code,createCliente,C:\repos\hgoycoolea_insitu.platform\0.bus\insitu.bus.code\createCliente.cs,ProcessRequest,The length of the statement  "		Dictionary<string' string> Collection = cl.maia.bus.Utils.ContextForm.ProcessNativeEncryptedForm (context.Request.Form); " is 120.
Long Statement,insitu.bus.code,getPromocionPorID,C:\repos\hgoycoolea_insitu.platform\0.bus\insitu.bus.code\getPromocionPorID.cs,ProcessRequest,The length of the statement  "		Dictionary<string' string> Collection = cl.maia.bus.Utils.ContextForm.ProcessNativeEncryptedForm (context.Request.Form); " is 120.
Long Statement,insitu.bus.code,ReadClientCategories,C:\repos\hgoycoolea_insitu.platform\0.bus\insitu.bus.code\readClientCategories.cs,ProcessRequest,The length of the statement  "		Dictionary<string' string> Collection = cl.maia.bus.Utils.ContextForm.ProcessNativeEncryptedForm (context.Request.Form); " is 120.
Long Statement,insitu.bus.code,getPositionsMercante,C:\repos\hgoycoolea_insitu.platform\0.bus\insitu.bus.code\getPositionsPorMercante.cs,ProcessRequest,The length of the statement  "		Dictionary<string' string> Collection = cl.maia.bus.Utils.ContextForm.ProcessNativeEncryptedForm (context.Request.Form); " is 120.
Long Statement,insitu.bus.code,getCiudadPorID,C:\repos\hgoycoolea_insitu.platform\0.bus\insitu.bus.code\getCiudadPorID.cs,ProcessRequest,The length of the statement  "		Dictionary<string' string> Collection = cl.maia.bus.Utils.ContextForm.ProcessNativeEncryptedForm (context.Request.Form); " is 120.
Long Statement,insitu.bus.code,getPaisPorID,C:\repos\hgoycoolea_insitu.platform\0.bus\insitu.bus.code\getPaisPorID.cs,ProcessRequest,The length of the statement  "		Dictionary<string' string> Collection = cl.maia.bus.Utils.ContextForm.ProcessNativeEncryptedForm (context.Request.Form); " is 120.
Long Statement,insitu.bus.code,ReadPromocionesPorMercante,C:\repos\hgoycoolea_insitu.platform\0.bus\insitu.bus.code\ReadPromocionesPorMercante.cs,ProcessRequest,The length of the statement  "		Dictionary<string' string> Collection = cl.maia.bus.Utils.ContextForm.ProcessNativeEncryptedForm (context.Request.Form); " is 120.
Long Statement,insitu.bus.code,getMercantePorID,C:\repos\hgoycoolea_insitu.platform\0.bus\insitu.bus.code\getMercantePorID.cs,ProcessRequest,The length of the statement  "		Dictionary<string' string> Collection = cl.maia.bus.Utils.ContextForm.ProcessNativeEncryptedForm (context.Request.Form); " is 120.
Long Statement,insitu.bus.code,ReadBarriosPorCiudad,C:\repos\hgoycoolea_insitu.platform\0.bus\insitu.bus.code\ReadBarriosPorCiudad.cs,ProcessRequest,The length of the statement  "		Dictionary<string' string> Collection = cl.maia.bus.Utils.ContextForm.ProcessNativeEncryptedForm (context.Request.Form); " is 120.
Long Statement,insitu.bus.code,ReadMercantesPorMembresia,C:\repos\hgoycoolea_insitu.platform\0.bus\insitu.bus.code\ReadMercantesPorMembresia.cs,ProcessRequest,The length of the statement  "		Dictionary<string' string> Collection = cl.maia.bus.Utils.ContextForm.ProcessNativeEncryptedForm (context.Request.Form); " is 120.
Long Statement,insitu.bus.code,getDistanceToPromociones,C:\repos\hgoycoolea_insitu.platform\0.bus\insitu.bus.code\getDistanceToPromociones.cs,ProcessRequest,The length of the statement  "		Dictionary<string' string> Collection = cl.maia.bus.Utils.ContextForm.ProcessNativeEncryptedForm (context.Request.Form); " is 120.
Long Statement,insitu.bus.code,getDistanceToPromociones,C:\repos\hgoycoolea_insitu.platform\0.bus\insitu.bus.code\getDistanceToPromociones.cs,ProcessRequest,The length of the statement  "		string json = SatelliteLogics.getDistanceToPromociones (int.Parse (dynamic_obj.mercante)' dynamic_obj.axis).ToString (); " is 120.
Long Statement,insitu.bus.code,getLogoMercantePorID,C:\repos\hgoycoolea_insitu.platform\0.bus\insitu.bus.code\getLogoMercantePorID.cs,ProcessRequest,The length of the statement  "		Dictionary<string' string> Collection = cl.maia.bus.Utils.ContextForm.ProcessNativeEncryptedForm (context.Request.Form); " is 120.
Long Statement,insitu.bus.code,ReadPromocionesPorGeolocation,C:\repos\hgoycoolea_insitu.platform\0.bus\insitu.bus.code\ReadPromocionesPorGeolocation.cs,ProcessRequest,The length of the statement  "		Dictionary<string' string> Collection = cl.maia.bus.Utils.ContextForm.ProcessNativeEncryptedForm (context.Request.Form); " is 120.
Long Statement,insitu.bus.code,ReadPromocionesPorGeolocation,C:\repos\hgoycoolea_insitu.platform\0.bus\insitu.bus.code\ReadPromocionesPorGeolocation.cs,ProcessRequest,The length of the statement  "		string json = JsonConvert.SerializeObject (ClientLogics.ReadPromocionesPorGeolocation (dynamic_obj.axis' double.Parse (dynamic_obj.tolerance)' int.Parse (dynamic_obj.barrio))); " is 176.
Long Statement,insitu.bus.code,ReadPromocionesPorCategorias,C:\repos\hgoycoolea_insitu.platform\0.bus\insitu.bus.code\ReadPromocionesPorCategorias.cs,ProcessRequest,The length of the statement  "		Dictionary<string' string> Collection = cl.maia.bus.Utils.ContextForm.ProcessNativeEncryptedForm (context.Request.Form); " is 120.
Long Statement,insitu.bus.code,ReadPromocionesPorCategorias,C:\repos\hgoycoolea_insitu.platform\0.bus\insitu.bus.code\ReadPromocionesPorCategorias.cs,ProcessRequest,The length of the statement  "		string json = JsonConvert.SerializeObject (ClientLogics.ReadPromocionesPorCategorias (categorias_int' int.Parse (barrio))); " is 123.
Long Statement,insitu.bus.code,ReadRutas,C:\repos\hgoycoolea_insitu.platform\0.bus\insitu.bus.code\ReadRutas.cs,ProcessRequest,The length of the statement  "		Dictionary<string' string> Collection = cl.maia.bus.Utils.ContextForm.ProcessNativeEncryptedForm (context.Request.Form); " is 120.
